algoritmo,origem_correta,origem_defeituosa,typescript_correto,typescript_defeituoso,commit_origem
bitcount,correct_python_programs/bitcount.py,python_programs/bitcount.py,src/functions/bitcount.ts,src/functions-buggy/bitcount.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
bucketsort,correct_python_programs/bucketsort.py,python_programs/bucketsort.py,src/functions/bucketsort.ts,src/functions-buggy/bucketsort.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
find_first_in_sorted,correct_python_programs/find_first_in_sorted.py,python_programs/find_first_in_sorted.py,src/functions/find_first_in_sorted.ts,src/functions-buggy/find_first_in_sorted.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
find_in_sorted,correct_python_programs/find_in_sorted.py,python_programs/find_in_sorted.py,src/functions/find_in_sorted.ts,src/functions-buggy/find_in_sorted.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
flatten,correct_python_programs/flatten.py,python_programs/flatten.py,src/functions/flatten.ts,src/functions-buggy/flatten.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
gcd,correct_python_programs/gcd.py,python_programs/gcd.py,src/functions/gcd.ts,src/functions-buggy/gcd.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
get_factors,correct_python_programs/get_factors.py,python_programs/get_factors.py,src/functions/get_factors.ts,src/functions-buggy/get_factors.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
is_valid_parenthesization,correct_python_programs/is_valid_parenthesization.py,python_programs/is_valid_parenthesization.py,src/functions/is_valid_parenthesization.ts,src/functions-buggy/is_valid_parenthesization.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
knapsack,correct_python_programs/knapsack.py,python_programs/knapsack.py,src/functions/knapsack.ts,src/functions-buggy/knapsack.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
levenshtein,correct_python_programs/levenshtein.py,python_programs/levenshtein.py,src/functions/levenshtein.ts,src/functions-buggy/levenshtein.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
lis,correct_python_programs/lis.py,python_programs/lis.py,src/functions/lis.ts,src/functions-buggy/lis.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
max_sublist_sum,correct_python_programs/max_sublist_sum.py,python_programs/max_sublist_sum.py,src/functions/max_sublist_sum.ts,src/functions-buggy/max_sublist_sum.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
mergesort,correct_python_programs/mergesort.py,python_programs/mergesort.py,src/functions/mergesort.ts,src/functions-buggy/mergesort.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
next_palindrome,correct_python_programs/next_palindrome.py,python_programs/next_palindrome.py,src/functions/next_palindrome.ts,src/functions-buggy/next_palindrome.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
next_permutation,correct_python_programs/next_permutation.py,python_programs/next_permutation.py,src/functions/next_permutation.ts,src/functions-buggy/next_permutation.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
pascal,correct_python_programs/pascal.py,python_programs/pascal.py,src/functions/pascal.ts,src/functions-buggy/pascal.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
possible_change,correct_python_programs/possible_change.py,python_programs/possible_change.py,src/functions/possible_change.ts,src/functions-buggy/possible_change.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
powerset,correct_python_programs/powerset.py,python_programs/powerset.py,src/functions/powerset.ts,src/functions-buggy/powerset.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
quicksort,correct_python_programs/quicksort.py,python_programs/quicksort.py,src/functions/quicksort.ts,src/functions-buggy/quicksort.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
shortest_path_lengths,correct_python_programs/shortest_path_lengths.py,python_programs/shortest_path_lengths.py,src/functions/shortest_path_lengths.ts,src/functions-buggy/shortest_path_lengths.ts,4257f44b0ff1181dedaedee6a447e133219fcebf
