algoritmo,arquivo,funcao,complexidade,grupo,ferramenta,versao,regra
"bitcount","src/functions/bitcount.ts","bitcount","2","baixa","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"bucketsort","src/functions/bucketsort.ts","bucketsort","3","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"find_first_in_sorted","src/functions/find_first_in_sorted.ts","find_first_in_sorted","6","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"find_in_sorted","src/functions/find_in_sorted.ts","find_in_sorted","4","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"flatten","src/functions/flatten.ts","flatten","3","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"gcd","src/functions/gcd.ts","gcd","2","baixa","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"get_factors","src/functions/get_factors.ts","get_factors","4","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"is_valid_parenthesization","src/functions/is_valid_parenthesization.ts","is_valid_parenthesization","4","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"knapsack","src/functions/knapsack.ts","knapsack","4","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"levenshtein","src/functions/levenshtein.ts","levenshtein","5","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"lis","src/functions/lis.ts","lis","7","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"max_sublist_sum","src/functions/max_sublist_sum.ts","max_sublist_sum","2","baixa","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"mergesort","src/functions/mergesort.ts","mergesort","6","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"next_palindrome","src/functions/next_palindrome.ts","next_palindrome","5","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"next_permutation","src/functions/next_permutation.ts","next_permutation","5","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"pascal","src/functions/pascal.ts","pascal","5","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"possible_change","src/functions/possible_change.ts","possible_change","4","media","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"powerset","src/functions/powerset.ts","powerset","2","baixa","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"quicksort","src/functions/quicksort.ts","quicksort","2","baixa","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
"shortest_path_lengths","src/functions/shortest_path_lengths.ts","shortest_path_lengths","7","alta","TypeScript Compiler API","6.0.3","McCabe: 1 + if/loops/case/catch/?:/&&/||/??; grupos: baixa 1-2, media 3-4, alta >=5"
