Modelo,Algoritmo,Status,Total,Passou,Falhou,Statements,Branches,Functions,Lines,Tempo
GPT-4o,factorial,OK,16,16,0,12.43,3.13,4.17,11.22,1.825
GPT-4o,fibonacci,OK,17,17,0,13.51,6.25,4.17,11.73,7.239
GPT-4o,reverse_string,FAIL,18,17,1,12.43,3.13,4.17,11.22,1.798
GPT-4o,max_sublist_sum,OK,23,23,0,14.05,0.00,4.17,13.78,1.938
GPT-4o,flatten,OK,19,19,0,14.05,3.13,4.17,14.80,1.824
GPT-4o,is_palindrome,FAIL,23,22,1,13.51,6.25,4.17,12.76,1.943
GPT-4o,gcd,FAIL,22,18,4,12.43,3.13,4.17,11.22,1.836
GPT-4o,binary_search,FAIL,23,18,5,16.22,6.25,4.17,16.84,1.75
GPT-4o,bubblesort,FAIL,19,17,2,16.76,3.13,4.17,16.84,1.729
GPT-4o,find_in_sorted,FAIL,23,18,5,16.76,6.25,8.33,17.35,1.79
GPT-4o,shortest_path_lengths,FAIL,16,15,1,15.14,0.00,4.17,14.29,1.737
GPT-4o,pascal,FAIL,0,0,0,15.14,0.00,4.17,14.29,
GPT-4o,next_permutation,FAIL,20,18,2,17.30,4.69,4.17,17.35,1.67
GPT-4o,levenshtein,OK,23,23,0,15.68,12.50,4.17,16.33,1.89
GPT-4o,lis,FAIL,21,17,4,18.38,9.38,4.17,18.37,1.981
GPT-4o,quicksort,FAIL,17,16,1,15.14,3.13,12.50,12.76,2.01
GPT-4o,mergesort,FAIL,18,16,2,19.46,9.38,8.33,18.88,1.946
GPT-4o,knapsack,FAIL,20,18,2,14.05,0.00,4.17,13.78,1.831
GPT-4o,shortest_path_step,FAIL,18,15,3,16.76,9.38,4.17,16.84,1.688
GPT-4o,topological_sort,OK,18,18,0,20.00,9.38,8.33,18.37,1.65
Gemini,factorial,OK,8,8,0,12.43,3.13,4.17,11.22,1.61
Gemini,fibonacci,OK,9,9,0,13.51,6.25,4.17,11.73,1.637
Gemini,reverse_string,FAIL,9,8,1,12.43,3.13,4.17,11.22,1.596
Gemini,max_sublist_sum,OK,12,12,0,14.05,0.00,4.17,13.78,1.636
Gemini,flatten,OK,11,11,0,14.05,3.13,4.17,14.80,1.628
Gemini,is_palindrome,OK,12,12,0,13.51,6.25,4.17,12.76,1.672
Gemini,gcd,OK,13,13,0,12.43,3.13,4.17,11.22,1.7
Gemini,binary_search,OK,15,15,0,16.22,6.25,4.17,16.84,1.662
Gemini,bubblesort,OK,10,10,0,16.76,3.13,4.17,16.84,1.945
Gemini,find_in_sorted,OK,13,13,0,16.76,6.25,8.33,17.35,1.54
Gemini,shortest_path_lengths,OK,9,9,0,15.14,0.00,4.17,14.29,1.689
Gemini,pascal,OK,8,8,0,16.76,6.25,4.17,15.82,1.707
Gemini,next_permutation,FAIL,13,11,2,17.30,6.25,4.17,17.35,1.873
Gemini,levenshtein,OK,13,13,0,15.68,12.50,4.17,16.33,1.754
Gemini,lis,FAIL,12,11,1,18.38,9.38,4.17,18.37,1.624
Gemini,quicksort,OK,12,12,0,15.14,3.13,12.50,12.76,1.564
Gemini,mergesort,OK,13,13,0,19.46,9.38,8.33,18.88,1.556
Gemini,knapsack,OK,11,11,0,14.05,0.00,4.17,13.78,1.702
Gemini,shortest_path_step,OK,11,11,0,16.76,9.38,4.17,16.84,1.817
Gemini,topological_sort,OK,10,10,0,20.00,9.38,8.33,18.37,1.685
Claude,factorial,FAIL,22,18,4,12.43,3.13,4.17,11.22,1.975
Claude,fibonacci,TIMEOUT,,,,,,,,>30s
Claude,reverse_string,OK,34,34,0,12.43,3.13,4.17,11.22,1.888
Claude,max_sublist_sum,OK,35,35,0,14.05,0.00,4.17,13.78,1.875
Claude,flatten,FAIL,39,38,1,14.05,3.13,4.17,14.80,2.164
Claude,is_palindrome,FAIL,51,47,4,13.51,6.25,4.17,12.76,1.946
Claude,gcd,FAIL,45,41,4,12.43,3.13,4.17,11.22,2.706
Claude,binary_search,FAIL,49,48,1,16.22,6.25,4.17,16.84,2.873
Claude,bubblesort,OK,37,37,0,16.76,3.13,4.17,16.84,2.044
Claude,find_in_sorted,FAIL,53,52,1,16.76,6.25,8.33,17.35,1.823
Claude,shortest_path_lengths,OK,25,25,0,15.14,0.00,4.17,14.29,1.876
Claude,pascal,FAIL,29,28,1,16.76,6.25,4.17,15.82,1.8
Claude,next_permutation,FAIL,46,45,1,17.30,6.25,4.17,17.35,1.93
Claude,levenshtein,OK,55,55,0,15.68,12.50,4.17,16.33,1.994
Claude,lis,FAIL,44,43,1,18.38,9.38,4.17,18.37,2.29
Claude,quicksort,FAIL,45,44,1,15.14,3.13,12.50,12.76,2.038
Claude,mergesort,OK,52,52,0,19.46,9.38,8.33,18.88,2.173
Claude,knapsack,FAIL,38,35,3,14.05,0.00,4.17,13.78,2.121
Claude,shortest_path_step,FAIL,0,0,0,0.00,0.00,0.00,0.00,7.296
Claude,topological_sort,OK,33,33,0,20.00,9.38,8.33,18.37,2.212
